レイヤー名

BGM
背景
映像
音声
効果音
字幕
図形
動き
感情
きりたん
すんだもん
四国めたん
琴葉茜
琴葉葵
結月ゆかり
紲星あかり
彩澄しゅお
京町セイカ
弦巻マキ
宮舞モカ
小春六花
花隈千冬
タカハシ
フリモメン
伊織弓鶴
重音テト
